"Date from","Date to","Team","Contract","Amount","Payment type"
"2026-01-12","2026-01-18","tviStech (fltlbxntr2vtqr_ffkjuwg)","Brantley Agency Dev Work (28279534)","65",""
"2026-01-12","2026-01-18","tviStech (fltlbxntr2vtqr_ffkjuwg)","Interactive Portfolio Section Development for Architecture Website (42135895)","190",""
"2026-01-12","2026-01-18","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42404405)","113.33",""
"2026-01-12","2026-01-18","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42414703)","146.67",""
"2026-01-12","2026-01-18","tviStech (fltlbxntr2vtqr_ffkjuwg)","Maintenance Contract For Wordpress Website (42437094)","300","Fixed Price Payment"
"2026-01-12","2026-01-18","tviStech (fltlbxntr2vtqr_ffkjuwg)","Monthly website maintenance contract (42639013)","120","Fixed Price Payment"
"2026-01-19","2026-01-25","tviStech (fltlbxntr2vtqr_ffkjuwg)","Brantley Agency Dev Work (28279534)","169",""
"2026-01-19","2026-01-25","tviStech (fltlbxntr2vtqr_ffkjuwg)","Interactive Portfolio Section Development for Architecture Website (42135895)","310",""
"2026-01-19","2026-01-25","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42404405)","263.33",""
"2026-01-19","2026-01-25","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42414703)","456.67",""
"2026-01-19","2026-01-25","tviStech (fltlbxntr2vtqr_ffkjuwg)","Private web design project for Sanjana (42679107)","440",""
"2026-01-19","2026-01-25","tviStech (fltlbxntr2vtqr_ffkjuwg)","Easy Recipe Gang website rebuild (42720239)","116.67",""
"2026-01-26","2026-02-01","tviStech (fltlbxntr2vtqr_ffkjuwg)","Brantley Agency Dev Work (28279534)","125.67",""
"2026-01-26","2026-02-01","tviStech (fltlbxntr2vtqr_ffkjuwg)","Interactive Portfolio Section Development for Architecture Website (42135895)","30",""
"2026-01-26","2026-02-01","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42404405)","90",""
"2026-01-26","2026-02-01","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42414703)","206.67",""
"2026-01-26","2026-02-01","tviStech (fltlbxntr2vtqr_ffkjuwg)","Private web design project for Sanjana (42679107)","315.33",""
"2026-01-26","2026-02-01","tviStech (fltlbxntr2vtqr_ffkjuwg)","Easy Recipe Gang website rebuild (42720239)","120",""
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Brantley Agency Dev Work (28279534)","650",""
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42404405)","93.33",""
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42414703)","296.67",""
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Monthly website maintenance contract (42639013)","120","Fixed Price Payment"
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Private web design project for Sanjana (42679107)","40.33",""
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Easy Recipe Gang website rebuild (42720239)","150",""
"2026-02-02","2026-02-08","tviStech (fltlbxntr2vtqr_ffkjuwg)","Full Stack / Backend Developer (42845368)","600","Fixed Price Payment"
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Brantley Agency Dev Work (28279534)","221",""
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Adapt WP recipe maker in wordpress (elementor), add new functions to backend and frontend (35811300)","63.33",""
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Interactive Portfolio Section Development for Architecture Website (42135895)","5",""
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42404405)","330",""
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Three food-based websites (42414703)","143.33",""
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Private web design project for Sanjana (42679107)","117.33",""
"2026-02-09","2026-02-12","tviStech (fltlbxntr2vtqr_ffkjuwg)","Easy Recipe Gang website rebuild (42720239)","63.33",""
