Date,USD,GBP,EURO,YEN
27/06/2025,85.5594,117.5529,100.1992,59.3000
26/06/2025,85.7528,117.5076,100.1353,59.3300
25/06/2025,85.8732,117.0102,99.7646,59.1600
24/06/2025,86.1043,117.0020,100.0308,59.3300
23/06/2025,86.8080,116.6451,99.8969,58.9600
20/06/2025,86.6133,116.6774,99.7560,59.5800
19/06/2025,86.6994,116.1581,99.3390,59.6900
18/06/2025,86.3030,116.1759,99.3394,59.5300
17/06/2025,86.0978,116.8537,99.5916,59.4700
16/06/2025,86.0242,116.7526,99.3958,59.6700
13/06/2025,86.0979,116.5593,99.3151,59.9900
12/06/2025,85.5353,116.0092,98.5475,59.5200
11/06/2025,85.4542,115.2264,97.5642,58.8900
10/06/2025,85.5949,115.6153,97.6130,59.2400
09/06/2025,85.4984,115.9301,97.6625,59.2400
06/06/2025,85.7883,116.2472,98.1132,59.5500
05/06/2025,85.7730,116.2653,97.8916,59.9300
04/06/2025,85.9579,116.1354,97.7066,59.6600
03/06/2025,85.4576,115.5586,97.5994,59.7400
02/06/2025,85.4353,115.5957,97.4156,59.6600
